model,auc_roc,auc_pr,accuracy,f1
Random Forest,0.8738232188523178,0.796774847112151,0.8491746385762078,0.8256394651784339
Gradient Boosted Trees,0.8843822100070734,0.8176032380242152,0.8809139233796562,0.8709524569855739
